Lab_Number,General_Context,Associated_Feature_Type,Material,Quad,Distance_Band,Researcher,Age,Class,Reference,CRA,SD,
Erl-13248,"T 01, Stone-lined basin ",Water,Carbonized nutshell,17,4500-5000,"Vogt and Moser, 2010",360 ± 39,1c,Vogt and Moser 2010:20,360,39,
Erl-13249 ,"T 01, Stone-lined basin",Water,Wood charcoal,17,4500-5000,"Vogt and Moser, 2010","307 ± 39
",1a,Vogt and Moser 2010:20,307,39,
Erl-13250,"T 01, Stone-lined basin",Water,Wood charcoal - unidentiﬁed,17,4500-5000,"Vogt and Moser, 2010",349 ± 40,1a,Vogt and Moser 2010:20,349,40,
Beta-47282,Site 18-228,Residential,Wood charcoal - unidentiﬁed,18,3500-4000,"Vargas Casanova et al., 1992
",400 ± 60,2c,Vogt and Moser 2010:20,400,60,
Beta-47283,Site 18-419,Residential,Wood charcoal,18,2500-3000,"Vargas Casanova et al., 1992",330 ± 60,"2b
2b","Vargas et al., 2006:296-8",330,60,
Beta-199322 ,"Site 18-473G, Feature 1, TU1",Residential,Twig and grass fragments,"18
18",3000-3500,"Stevenson et al., 2005","220 ± 40
",2b,"Vargas et al., 2006:297-8",220,40,
Beta-199323,"Site 18-473G, Feature 3, TU2",Residential,Wood charcoal,18,3000-3500,"Stevenson et al., 2005",570 ± 50,2b,"Stevenson et al., 2007:75",570,50,
Beta-199324,"Site 18-473G, Feature 20, TU1",Agricultural,Wood charcoal - identified,18,3000-3500,"Stevenson et al., 2005 ",1110 ± 40,2b,"Stevenson et al., 2007, p.75",1110,40,
Wk-27380,"ST 43, near Feature SH-4-129d",Residential,Wood charcoal - identified,19,2000-2500,"Mulrooney et al., 2008",131 ± 30,2b,"Stevenson et al., 2007, p.75",131,30,
Wk-27381,"ST 43, near Feature SH-4-129d",Residential,Wood charcoal,19,2000-2500,"Mulrooney et al., 2008",426 ± 30,1c, Mulrooney 2012,426,30,
Beta-144306,"CS4, Unit 2, F.1",Residential,Wood charcoal,19,1500-2000,"Stevenson and Haoa Cardinali, 1999",790 ± 80,1c,Mulrooney 2012,790,80,
Beta-144307,"CS4, Unit 2, F.3",Agricultural,Wood charcoal,20,1500-2000,"Stevenson and Haoa Cardinali, 1999",840 ± 40,2c,Stevenson and Haoa Cardinali 2008:5,840,40,
Beta-144308,"CS2, F.3",Agricultural,Wood charcoal,20,1500-2000,"Stevenson and Haoa Cardinali, 1999",740 ± 40,2c,Stevenson and Haoa Cardinali 2008:75,740,40,
Beta-144309,"CS2, F.6",Agricultural,Wood charcoal,20,1500-2000,"Stevenson and Haoa Cardinali, 1999",250 ± 40,2c,Stevenson and Haoa Cardinali 2008:75,250,40,
Beta-144310,"Site 20-52 E1t, Unit 1, F.6",Agricultural,Wood charcoal,20,500-1000,"Stevenson and Haoa Cardinali, 1999",780 ± 50,2c,Stevenson and Haoa Cardinali 2008:75,780,50,
