Lab_Number,General_Context,Associated_Feature_Type,Material,Quad,Distance_Band,Researcher,Age,Class,Reference,CRA,SD,
Ua-1144,Ahu Ature Huki,Ceremonial,Wood charcoal,35,0-500," Skjolsvold et al., 1986-1988",580 ± 85,2b,"Vargas Casanova et al., 2006:203",580,85,
Ua-617,Ahu Nau Nau III,Ceremonial,Bone,"35
35",0-500,"Skjolsvold et al., 1986-1988",610 ± 85,2b,Martinsson-Wallin and Crockford 2002:250,610,85,
T-6678,Ahu Nau Nau I,Ceremonial,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",860 ± 130,2c,Martinsson-Wallin and Crockford 2002:251,860,130,
T-6679,’Anakena cultural layer,Ceremonial,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",1170 ± 140,3b,Martinsson-Wallin and Crockford 2002:251,1170,140,
T-6680,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",370 ± 90,2c,"Martinsson-Wallin and Crockford 2002:246, Skjolsvold 1994:106",370,90,
T-7341,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",900 ± 120,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106",900,120,
T-7342,Ahu Nau Nau I,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",710 ± 70,2c,"Martinsson-Wallin and Crockford 2002:246, Skjolsvold 1994:106",710,70,
T-7343,’Anakena cultural layer,Ceremonial,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",750 ± 100,2a,Martinsson-Wallin and Crockford 2002:251,750,100,
T-7344,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",600 ± 140,2c,"Martinsson-Wallin and Crockford 2002:246, Skjolsvold 1994:106",600,140,
T-7345,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",810 ± 80,2c,"Martinsson-Wallin and Crockford 2002:247,",810,80,
T-7346,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",810 ± 70,2c,"Skjolsvold 1994:106
Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106",810,70,
T-7347,Ahu Nau Nau II,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",720 ± 120,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106",720,120,
T-7348,Ahu Nau Nau IV?,Ceremonial,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",200 ± 80,2c,Martinsson-Wallin and Crockford 2002:251,200,80,
T-7349,’Anakena cultural layer,Ceremonial,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",550 ± 150,2c,Martinsson-Wallin and Crockford 2002:251,550,150,
T-7350,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",710 ± 80,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106",710,80,
T-7958,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",340 ± 100,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106",340,100,
T-7959,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",510 ± 40,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106",510,40,
T-7960,’Anakena uphill,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",Modern,2c,"Martinsson-Wallin and Crockford 2002:246, Skjolsvold 1994:106",Modern,,
T-7961,’Anakena uphill,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",Modern,2c,"Martinsson-Wallin and Crockford 2002:247,",Modern,,
T-7973,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",Modern,2c,"Skjolsvold 1994:106
Martinsson-Wallin and Crockford",Modern,,
T-7974,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",540 ± 60,2c,Martinsson-Wallin and Crockford,540,60,
T-7975,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",710 ± 40,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106",710,40,
T-7976,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",789 ± 90,2b,"Martinsson-Wallin and Crockford 2002:246, Skjolsvold 1994:106",789,90,
T-7977,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1986-1988",220 ± 80,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold",220,80,
T-7979,Ahu Ature Huki,Residential,Bone - aquatic bird,35,0-500,"Skjolsvold et al., 1986-1988",510 ± 80,2c,"1994:106
Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106",510,80,
Ua-1740,’Anakena cultural layer,Ceremonial,Wood charcoal,35,0-500,"Skjolsvold et al., 1990",1290 ± 100,2a,Martinsson-Wallin and Crockford 2002:250,1290,100,
Beta-47169,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Steadman et al., 1991",900 ± 80,3c,"Martinsson-Wallin and Crockford 2002:246, Skjolsvold 1994:106",900,80,
Beta-47170,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Steadman et al., 1991",900 ± 60,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106, Steadman et al., 1994 (dates slightly different)",900,60,
Beta-47171,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Steadman et al., 1991",660 ± 80,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106, Steadman et al., 1994 (dates slightly different)",660,80,
Beta-47172,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Steadman et al., 1991",170 ± 110,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106, Steadman et al., 1994 (dates slightly different)",170,110,
Beta-47173,’Anakena cultural layer,Residential,Tooth - dolphin,35,0-500,"Steadman et al., 1991",860 ± 100,2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106, Steadman et al., 1994 (dates slightly different)",860,100,
CAMS-5335,Ahu Nau Nau,Ceremonial, Bone - periotic ,35,0-500," Steadman et al., 1991","1090 ± 60

",2c,"Martinsson-Wallin and Crockford 2002:247, Skjolsvold 1994:106, Steadman et al., 1994 (dates slightly different)",1090,60,
 CAMS-5336 ,Ahu Nau Nau,Ceremonial,Bone - periotic,35,0-500,"Steadman et al., 1991",1040 ± 80,3c,"Steadman et al., 1994:86",1040,80,
CAMS-5337,Ahu Nau Nau,Ceremonial,"Bone - rat
Bone",35,0-500,"Steadman et al., 1991",1310 ± 60,3c,"Steadman et al., 1994:86",1310,60,
Ua-3007,’Anakena cultural layer,Residential,Wood charcoal,35,0-500,"Skjolsvold et al., 1993",1015 ± 65,3c,"Steadman et al., 1994:86",1015,65,
Ua-4626,’Anakena cultural layer,Ceremonial,Bone,35,0-500,"Skjolsvold, 1994",710 ± 75,3c,"Martinsson-Wallin and Crockford 2002:246, Skjolsvold 1994:106",710,75,
Beta-77743,’Anakena Pipe Trench,Residential,Wood charcoal,35,0-500,"Stevenson et al., 1994",Modern,2b,"Stevenson et al., 2000:170",Modern,,
Beta-77744,’Anakena Pipe Trench,Residential,Wood charcoal,35,0-500,"Stevenson et al., 1994",70 ± 50,2b,"Stevenson et al., 2000:170",70,50,
A-160,’Anakena Trench C,Residential,Coral,35,0-500,"Beck et al., 2003",1020 ± 65,3c,"Beck et al., 2003:105",1020,65,
A-161,’Anakena Trench C,Residential,Coral,35,0-500,"Beck et al., 2003",1010 ± 60,3c,"Beck et al., 2003:105",1010,60,
A-161b,’Anakena Trench C,Residential,Algal nodule,35,0-500,"Beck et al., 2003",965 ± 45,3c,"Beck et al., 2003:105",965,45,
AA-27343,Auh Nau Nau plaza,Ceremonial,Algal nodule,35,0-500,"Beck et al., 2003",371 ± 50,1c,"Beck et al., 2003:105",371,50,
AA-27344,Auh Nau Nau plaza,Ceremonial,Algal nodule,35,0-500,"Beck et al., 2003",423 ± 60,1c,"Beck et al., 2003:105",423,60,
AA-27345,Auh Nau Nau plaza,Ceremonial,Algal nodule,35,0-500,"Beck et al., 2003",555 ± 45,1c,"Beck et al., 2003:105",555,45,
AA-27346,Auh Nau Nau plaza,Ceremonial,Coral,35,0-500,"Beck et al., 2003",430 ± 40,1c,"Beck et al., 2003:105",430,40,
AA-30983,Ahu Nau Nau III,Ceremonial,Coral,35,0-500,"Beck et al., 2003",885 ± 45,3c,"Beck et al., 2003:105",885,45,
AA-30984,Ahu Nau Nau,Ceremonial,Coral,35,0-500,"Beck et al., 2003",455 ± 45,3c,"Beck et al., 2003:105",455,45,
AA-30985,Ahu Nau Nau III,Ceremonial,Coral,35,0-500,"Beck et al., 2003",815 ± 70,3c,"Beck et al., 2003:105",815,70,
AA-30986,’Anakena,Ceremonial,Coral,35,0-500,"Beck et al., 2003",760 ± 45,3c,"Beck et al., 2003:105",760,45,
AA-30987,’Anakena,Ceremonial,Coral,35,0-500,"Beck et al., 2003",960 ± 45,3c,"Beck et al., 2003:105",960,45,
AA-30988,Ahu Nau Nau III,Ceremonial,Coral,35,0-500,"Beck et al., 2003",875 ± 50,3c,"Beck et al., 2003:105",875,50,
AA-30989,’Anakena,Ceremonial,Coral,35,0-500,"Beck et al., 2003",525 ± 45,3c,"Beck et al., 2003:105",525,45,
AA-30990,’Anakena,Ceremonial,Coral,35,0-500,"Beck et al., 2003",810 ± 50,3c,"Beck et al., 2003:105",810,50,
AA-30991,’Anakena,Ceremonial,Coral,35,0-500,"Beck et al., 2003",780 ± 45,3c,"Beck et al., 2003:105",780,45,
AA-30992,’Anakena,Ceremonial,Coral,35,0-500,"Beck et al., 2003",830 ± 45,3c,"Beck et al., 2003:105",830,45,
AA-30993,’Anakena,Ceremonial,Coral,35,0-500,"Beck et al., 2003",1290 ± 45,3c,"Beck et al., 2003:105",1290,45,
AA-30994,’Anakena,Ceremonial,Coral,35,0-500,"Beck et al., 2003",665 ± 45,3c,"Beck et al., 2003:105",665,45,
AA-30995,Ahu Nau Nau,Ceremonial,Coral,35,0-500,"Beck et al., 2003",420 ± 45,3c,"Beck et al., 2003:105",420,45,
AA-30996,Ahu Nau Nau,Ceremonial,Coral,35,0-500,"Beck et al., 2003",365 ± 45,3c,"Beck et al., 2003:105",365,45,
AA-30997,Ahu Nau Nau,Ceremonial,Coral,35,0-500,"Beck et al., 2003",365 ± 50,3c,"Beck et al., 2003:105",365,50,
AA-30998a,"Ahu Nau Nau, Trench C1",Residential,Coral,35,0-500,"Beck et al., 2003",930 ± 45,3c,"Beck et al., 2003:105",930,45,
AA-30998b,"Ahu Nau Nau, Trench K",Residential,Coral,35,0-500,"Beck et al., 2003",975 ± 60,3c,"Beck et al., 2003:105",975,60,
AA-30999,"Ahu Nau Nau, Trench C1",Residential,Coral,35,0-500,"Beck et al., 2003",985 ± 65,3c,"Beck et al., 2003:105",985,65,
AA-31000,Nau Nau East,Residential,Coral,35,0-500,"Beck et al., 2003",770 ± 45,3c,"Beck et al., 2003:105",770,45,
AA-31001,Nau Nau East,Residential,Coral,35,0-500,"Beck et al., 2003",505 ± 45,3c,"Beck et al., 2003:105",505,45,
AA-31002,Nau Nau East,Residential,Coral,35,0-500,"Beck et al., 2003",940 ± 45,3c,"Beck et al., 2003:105",940,45,
AA-31003,"Ahu Nau Nau, Trench E",Ceremonial,Coral,35,0-500,"Beck et al., 2003",610 ± 45,3c,"Beck et al., 2003:105",610,45,
AA-31004,"Ahu Nau Nau, Trench C2",Ceremonial,Wood charcoal,35,0-500,"Beck et al., 2003",760 ± 45,3c,"Beck et al., 2003:105",760,45,
Beta-196711,’Anakena Dune Site,Residential,Wood charcoal,35,0-500,Hunt & Lipo 2004-2005,660 ± 40,1c,"Hunt and Lipo 2006, Table 1",660,40,
Beta-196712,’Anakena Dune Site,Residential,Wood charcoal,35,0-500,Hunt & Lipo 2004-2005,680 ± 60,1c,"Hunt and Lipo 2006, Table 1",680,60,
Beta-196713,’Anakena Dune Site,Residential,Wood charcoal,35,0-500,Hunt & Lipo 2004-2005,670 ± 40,1c,"Hunt and Lipo 2006, Table 1",670,60,
Beta-196714,’Anakena Dune Site,Residential,Wood charcoal,35,0-500,Hunt & Lipo 2004-2005,590 ± 60,1c,"Hunt and Lipo 2006, Table 1",590,60,
Beta-196715,’Anakena Dune Site,Residential,Wood charcoal,35,0-500,Hunt & Lipo 2004-2005,710 ± 40,1c,"Hunt and Lipo 2006, Table 1",710,40,
Beta-196716,’Anakena Dune Site,Residential,Wood charcoal,35,0-500,Hunt & Lipo 2004-2005,720 ± 60,1c,"Hunt and Lipo 2006, Table 1",720,60,
Beta-209903,’Anakena Dune Site,Residential,Wood charcoal,35,0-500,Hunt & Lipo 2004-2005,870 ± 80,1c,"Hunt and Lipo 2006, Table 1",870,80,
Beta-209904,’Anakena Dune Site,Residential,Carbonized nutshell,35,0-500,Hunt & Lipo 2004-2005,870 ± 40,1c,"Hunt and Lipo 2006, Table 1",870,40,
Ua-34183,Ahu Nau Nau I,Ceremonial,Bone - Rattus exulans,35,0-500,"Martinsson-Wallin et al., 2007",535 ± 35,2c,"Wallin et al., 2010",535,35,
Ua-34184,Ahu Nau Nau I,Ceremonial,Bone - Rattus exulans,35,0-500,"Martinsson-Wallin et al., 2007",640 ± 65,3a,"Wallin et al., 2010",640,65,
Ua-34185,Ahu Nau Nau I,Ceremonial,Wood charcoal - unidentified,35,0-500,"Martinsson-Wallin et al., 2007",610 ± 50,3a,"Wallin et al., 2010",610,50,
"Ua-34186
","’Anakena pre-Ahu Nau Nau I,
Trench C
",Residential,Bone - Rattus exulans,35,0-500,"Martinsson-Wallin et al., 2007",555 ± 35,2a,"Wallin et al., 2010",555,35,
Ua-34187,’Anakena pre-Ahu Nau Nau I,Residential,Wood charcoal - unidentified,35,0-500,"Martinsson-Wallin et al., 2007",915 ± 60,,"Wallin et al., 2010",915,60,
Ua-34188,"’Anakena pre-Ahu Nau Nau I,
Trench C",Residential,"Wood charcoal -
unidentiﬁed",35,0-500,"Martinsson-Wallin et al., 2007",665 ± 30,2a,"Wallin et al., 2010",665,30,
Ua-34189,"’Anakena settlement, Trench C",Residential,Carbonized nutshell,35,,,,,"Wallin et al., 2010",,,
Ua-34190,’Anakena settlement,Residential,"Wood charcoal -
unidentiﬁed",35,0-500,"Martinsson-Wallin et al., 2007",665 ± 35,2c,"Wallin et al., 2010",665,35,
Ua-34191,"’Anakena settlement, Trench C",Residential,Carbonized nutshell,35,0-500,"Martinsson-Wallin et al., 2007",565 ± 35,1c,"Wallin et al., 2010",565,35,
K-507,Statue Quarry,Ceremonial,Wood charcoal,RR,1000-1500,"Heyerdahl et al., 1956",480 ± 100,2c,Skjolsvold 1961:343; Martinsson-Wallin and Crockford 2002:253,480,100,
K-508,Statue 280,Ceremonial,Wood charcoal,RR,1000-1500,"Heyerdahl et al., 1956",110 ± 100,2b,Skjolsvold 1961:343; Martinsson-Wallin and Crockford 2002:253,110,100,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
