Lab_Number,Location,Depth,Material,Quad,Original_Publication,δ13C,Age,Reference,CRA,SD
KIA-49033,Vaipú East; section 1; filling pit 2b (HK9),0.16,charcoal,17,Khamnueva et al (2018),-12.39,445 +/- 30,Khamnueva et al (2018),445,30
Beta-321021,Vaipú East; section 1; filling pit 2b (HK9),0.16,charcoal,17,Khamnueva et al (2018),-25.1,320 +/- 30,Khamnueva et al (2018),320,30
KIA-48428,Vaipú East; section 1; fluvial sediment 5 (HK6),0.45,charcoal,17,Khamnueva et al (2018),-27.92,580 +/- 22,Khamnueva et al (2018),580,22
Beta-321020,Vaipú East; section 1; filling pit 1 (HK3),1.46,charcoal,17,Khamnueva et al (2018),-27.1,710 +/- 30,Khamnueva et al (2018),710,30
KIA-48426,Vaipu East; filling of pit 1,,charcoal,17,Khamnueva et al (2018),-21.8,815 +/- 25,Khamnueva et al (2018),815,25
