Site,Provienence,Lab_No.,Sample_Material,13C/12C Ratio (0/00),CRA,SD
RR-001-156,410635/193/2997 Square No. 2 250–322 cm,Beta-410635,Broussonetia papyrifera,-25.7,400,30
RR-001-156,410634/090/2883 Square No. 6 280–330 cm,Beta-410634,Broussonetia papyrifera,-25.7,380,30
RR-001-156,410636/221/3054 Square No. 4 300–310 cm,Beta-410636,Broussonetia papyrifera,-26.1,370,30
RR-001-156,410638/251B/3231 Square No. 1 330–412 cm,Beta-410638,Broussonetia papyrifera,-26.9,380,30
RR-001-156,410637/240A/3739 Square No. 3 363–420 cm,Beta-410637,Broussonetia papyrifera,-25.9,360,30
