UniqID,SiteName,Laboratory ID,Age,SD,DeltaR,DeltaRErr,pterrestrial,pmarine,Material ,CalCurve,CorrectSiteDesignation,Context,Mulrooney_Class,Notes
1,Ahu Nau Nau plaza ,AA-27343 ,371,50,-83,34,0,1,Algal nodule ,marine13,Anakena,Ceremonial,1c,
2,Ahu Nau Nau plaza ,AA-27344 ,423,60,-83,34,0,1,Algal nodule ,marine13,Anakena,Ceremonial,1c,
3,Ahu Nau Nau plaza ,AA-27346 ,430,40,-83,34,0,1,Algal nodule ,marine13,Anakena,Ceremonial,1c,
4,Ahu Nau Nau plaza ,AA-27345 ,555,45,-83,34,0,1,Algal nodule ,marine13,Anakena,Ceremonial,1c,
5,Ahu Akahanga,UCIAMS-105150,225,15,-83,34,0.645,0.355,Colagen human tooth,shcal13,Akahanga,Burial,,
6,Ahu Akahanga,UCIAMS-105153,235,15,-83,34,0.689,0.311,Colagen human tooth,shcal13,Akahanga,Burial,,
7,Ahu Akahanga,UCIAMS-105159,295,15,-83,34,0.638,0.362,Colagen human tooth,shcal13,Akahanga,Burial,,
8,Ahu Kihi Kihi Rau Mea,UCIAMS-105151,175,15,-83,34,0.688,0.312,Colagen human tooth,shcal13,Kihi Kihi Rau Mea,Burial,,
9,Ahu Kihi Kihi Rau Mea,UCIAMS-105154,155,15,-83,34,0.627,0.373,Colagen human tooth,shcal13,Kihi Kihi Rau Mea,Burial,,
10,Ahu Kihi Kihi Rau Mea,UCIAMS-105149,150,15,-83,34,0.625,0.375,Colagen human tooth,shcal13,Kihi Kihi Rau Mea,Burial,,
11,Ahu Kihi Kihi Rau Mea,UCIAMS-105162,195,15,-83,34,0.709,0.291,Colagen human tooth,shcal13,Kihi Kihi Rau Mea,Burial,,
12,Ahu Mahatua,UCIAMS-105148,185,15,-83,34,0.5,0.5,Colagen human tooth,shcal13,Mahatua,Burial,,
13,Ahu Nau Nau,UCIAMS-105152,160,25,-83,34,0.691,0.309,Colagen human tooth,shcal13,Anakena,Burial,,
14,Ahu Nau Nau,UCIAMS-105158,605,15,-83,34,0.695,0.305,Colagen human tooth,shcal13,Anakena,Burial,,
15,Ahu Nau Nau,UCIAMS-105163,400,15,-83,34,0.761,0.239,Colagen human tooth,shcal13,Anakena,Burial,,
16,Ahu Nau Nau,UCIAMS-105281,390,45,-83,34,0.677,0.323,Colagen human tooth,shcal13,Anakena,Burial,,
17,Ahu One Makihi,UCIAMS-105155,235,15,-83,34,0.546,0.454,Colagen human tooth,shcal13,One Makihi,Burial,,
18,Ahu Tongariki,UCIAMS-105156,295,15,-83,34,0.601,0.399,Colagen human tooth,shcal13,Tongariki,Burial,,
19,Ahu Tongariki,UCIAMS-105144,440,15,-83,34,0.44,0.56,Colagen human tooth,shcal13,Tongariki,Burial,,
20,Ahu Tongariki,UCIAMS-105145,550,15,-83,34,0.66,0.34,Colagen human tooth,shcal13,Tongariki,Burial,,
21,Ahu Tongariki,UCIAMS-105146,270,20,-83,34,0.561,0.439,Colagen human tooth,shcal13,Tongariki,Burial,,
22,Ahu Tongariki,UCIAMS-105147,345,20,-83,34,0.554,0.446,Colagen human tooth,shcal13,Tongariki,Burial,,
23,Ahu Tongariki,UCIAMS-105160,195,15,-83,34,0.574,0.426,Colagen human tooth,shcal13,Tongariki,Burial,,
24,Ahu Tongariki,UCIAMS-105161,645,15,-83,34,0.726,0.274,Colagen human tooth,shcal13,Tongariki,Burial,,
25,Ahu Tongariki,UCIAMS-105277,370,25,-83,34,0.465,0.535,Colagen human tooth,shcal13,Tongariki,Burial,,
26,Ahu Tongariki,UCIAMS-105278,125,30,-83,34,0.631,0.369,Colagen human tooth,shcal13,Tongariki,Burial,,
27,Ahu Tongariki,UCIAMS-105279,175,30,-83,34,0.65,0.35,Colagen human tooth,shcal13,Tongariki,Burial,,
28,Ahu Tongariki,UCIAMS-105280,310,15,-83,34,0.504,0.496,Colagen human tooth,shcal13,Tongariki,Burial,,
29,Ahu Tongariki,UCIAMS-105282,465,15,-83,34,0.632,0.368,Colagen human tooth,shcal13,Tongariki,Burial,,
30,Ana Oroi,UCIAMS-105157,185,15,-83,34,0.657,0.343,Colagen human tooth,shcal13,Oroi,Burial,,
31,Ahu Ature Huki ,T-7979 ,510,80,0,0,1,0,Wood charcoal ,shcal13,Anakena,Ceremonial,2a,
32,Ahu Ature Huki ,Ua-1144 ,580,85,0,0,1,0,Wood charcoal ,shcal13,Anakena,Ceremonial,2b,
33,Ahu Heki´i ,Ua-11700 ,705,45,0,0,1,0,Carbonized nutshell ,shcal13,Heki'i,Ceremonial,1a,
34,Ahu Heki´i ,Ua-11702 ,465,45,0,0,1,0,Carbonized nutshell ,shcal13,Heki'i,Ceremonial,1b,
35,Ahu Heki´i ,Ua-11701 ,700,45,0,0,1,0,Carbonized nutshell ,shcal13,Heki'i,Ceremonial,1b,
36,Ahu Heki´i ,Ua-11703 ,555,50,0,0,1,0,Carbonized nutshell ,shcal13,Heki'i,Ceremonial,1a,
37,Ahu Ihu Arero ,Gak-4616 ,480,90,0,0,1,0,Wood charcoal ,shcal13,Ahu Ihu Arero ,Ceremonial,2a,GaK date
38,Ahu Ihu Arero ,Gak-4617 ,480,90,0,0,1,0,Wood charcoal ,shcal13,Ahu Ihu Arero ,Ceremonial,2a,GaK date
39,Ahu Motu Toremo Hiva ,KIA-29813 ,610,25,0,0,1,0,Wood charcoal ,shcal13,Motu Toremo Hiva,Ceremonial,2c,
40,Ahu Motu Toremo Hiva ,KIA-29812 ,630,25,0,0,1,0,Wood charcoal ,shcal13,Motu Toremo Hiva,Ceremonial,2c,
41,Ahu Motu Toremo Hiva ,KIA-26453 ,675,25,0,0,1,0,Wood charcoal ,shcal13,Motu Toremo Hiva,Ceremonial,2c,
42,Ahu Motu Toremo Hiva ,KIA-26464 ,700,25,0,0,1,0,Wood charcoal ,shcal13,Motu Toremo Hiva,Ceremonial,2c,
43,Ahu Motu Toremo Hiva ,KIA-26461 ,630,25,0,0,1,0,Wood charcoal ,shcal13,Motu Toremo Hiva,Ceremonial,2c,
44,Ahu Motu Toremo Hiva ,KIA-26452 ,675,20,0,0,1,0,Wood charcoal ,shcal13,Motu Toremo Hiva,Ceremonial,2c,
45,Ahu Motu Toremo Hiva ,KIA-26487 ,240,20,0,0,1,0,Wood charcoal ,shcal13,Motu Toremo Hiva,Agricultural,2c,
46,Ahu Motu Toremo Hiva ,KIA-29814 ,325,25,0,0,1,0,Wood charcoal ,shcal13,Motu Toremo Hiva,Agricultural,2c,
47,Ahu Motu Toremo Hiva ,KIA-26483 ,150,20,0,0,1,0,Wood charcoal ,shcal13,Motu Toremo Hiva,Burial,2a,
48,Ahu Nau Nau I ,Ua-34183 ,535,35,0,0,1,0,Carbonized nutshell ,shcal13,Anakena,Ceremonial,2c,
49,Ahu Nau Nau I ,T-7342 ,710,70,0,0,1,0,Wood charcoal ,shcal13,Anakena,Ceremonial,2a,
50,Ahu Nau Nau II ,T-7347 ,720,120,0,0,1,0,Wood charcoal ,shcal13,Anakena,Ceremonial,2c,
51,Ahu Nau Nau III ,Ua-617 ,610,85,0,0,1,0,Wood charcoal ,shcal13,Anakena,Ceremonial,2c,
52,Ahu Nau Nau IV? ,T-7348 ,200,80,0,0,1,0,Wood charcoal ,shcal13,Anakena,Ceremonial,2c,
53,Ahu No. 31-286 ,Ua-11704 ,795,50,0,0,1,0,Wood charcoal ,shcal13,Heki'i,Ceremonial,2a,
54,Ahu o Rongo ,GrA-18378 ,655,30,0,0,1,0,Wood charcoal ,shcal13,Rongo,Ceremonial,2c,
55,Ahu o Rongo I ,GrA-18380 ,655,30,0,0,1,0,Wood charcoal ,shcal13,Rongo,Ceremonial,2b,
