UniqID,SiteName,Laboratory ID,Age,SD,DeltaR,DeltaRErr,pterrestrial,pmarine,Material ,CalCurve,CorrectSiteDesignation,Context,Mulrooney_Class,Notes
56,Ahu o Rongo I ,GrN-26318 ,715,35,0,0,1,0,Wood charcoal ,shcal13,Rongo,Ceremonial,2b,
57,Ahu o Tuki ,Beta-155733 ,595,65,0,0,1,0,Carbonized nutshell ,shcal13,Viri o Tuki,Ceremonial,1c,
58,Ahu o Tuki ,Beta-155732 ,610,60,0,0,1,0,Carbonized nutshell ,shcal13,Viri o Tuki,Ceremonial,1c,
59,Ahu o Tuki ,GrA-25870 ,640,35,0,0,1,0,Carbonized nutshell ,shcal13,Viri o Tuki,Ceremonial,1a,
60,Ahu Ra´ai ,Ua-13163 ,135,60,0,0,1,0,Wood charcoal ,shcal13,Ra'ai,Ceremonial,2b,
61,Ahu Ra´ai ,Ua-13164 ,515,60,0,0,1,0,Wood charcoal ,shcal13,Ra'ai,Ceremonial,2a,
62,Ahu Ra´ai ,Ua-13165 ,570,50,0,0,1,0,Wood charcoal ,shcal13,Ra'ai,Ceremonial,2b,
63,Ahu Ra´ai ,Ua-13166 ,635,50,0,0,1,0,Wood charcoal ,shcal13,Ra'ai,Ceremonial,2a,
64,Ahu Ra´ai ,Ua-13167 ,645,50,0,0,1,0,Wood charcoal ,shcal13,Ra'ai,Ceremonial,2a,
65,Ahu Tahai ,Gak-4507 ,200,70,0,0,1,0,Wood charcoal ,shcal13,Tahai,Ceremonial,3c,"Gak date, typo in mulrooney"
66,Ahu Tautira,Ua-13161 ,220,50,0,0,1,0,Wood charcoal ,shcal13,Tautira,Ceremonial,2c,
67,Ahu Tautira,Ua-13284 ,475,60,0,0,1,0,Wood charcoal ,shcal13,Tautira,Ceremonial,2a,
68,Ahu Tautira,Ua-13162 ,720,50,0,0,1,0,Wood charcoal ,shcal13,Tautira,Ceremonial,2b,
69,Ahu Vai Teka ,M-1372 ,330,100,0,0,1,0,Wood charcoal ,shcal13,Vai Teka,Ceremonial,2b,
70,Ahu Vai Teka ,I-455 ,340,75,0,0,1,0,Wood charcoal ,shcal13,Vai Teka,Ceremonial,2a,
71,Ahu Vai Teka ,TBN-348-2 ,399,76,0,0,1,0,Wood charcoal ,shcal13,Vai Teka,Ceremonial,2a,
72,Ahu Vinapu 1 ,K-523 ,440,100,0,0,1,0,Wood charcoal ,shcal13,Vinapu,Ceremonial,2c,
73,Ahu Vinapu 2 ,Ua-19464 ,605,45,0,0,1,0,Carbonized nutshell ,shcal13,Vinapu,Ceremonial,1c,
74,Ahu Vinapu 2 ,Ua-19463 ,610,40,0,0,1,0,Carbonized nutshell ,shcal13,Vinapu,Ceremonial,1c,
75,Ahu Vinapu 2 ,M-710 ,1100,200,0,0,1,0,Wood charcoal ,shcal13,Vinapu,Ceremonial,2b,
76,Akahanga settlement ,Beta-099353 ,200,50,0,0,1,0,Wood charcoal ,shcal13,Akahanga,Residential,2b,
77,Akahanga settlement ,Beta-099334 ,320,60,0,0,1,0,Wood charcoal ,shcal13,Akahanga,Residential,2b,
78,Akahanga settlement ,Beta-099343 ,220,70,0,0,1,0,Wood charcoal ,shcal13,Akahanga,Residential,2b,
79,Akahanga settlement ,Beta-099333 ,340,60,0,0,1,0,Wood charcoal ,shcal13,Akahanga,Residential,2b,
80,Akahanga settlement ,Beta-099330 ,220,70,0,0,1,0,Wood charcoal ,shcal13,Akahanga,Residential,2b,
81,Akahanga settlement ,Beta-099354 ,390,110,0,0,1,0,Wood charcoal ,shcal13,Akahanga,Residential,2b,
82,Ana Kai Tangata ,Beta-38785 ,290,80,0,0,1,0,Wood charcoal ,shcal13,Ana Kai Tangata,Residential,2c,
83,Anakena 35-8,UGa-630 ,395,75,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2a,
84,Anakena cultural layer ,Ua-34189 ,565,35,0,0,1,0,Carbonized nutshell ,shcal13,Anakena,Residential,1c,
85,Anakena cultural layer ,Beta-47172 ,170,110,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
86,Anakena cultural layer ,T-7977 ,220,80,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
87,Anakena cultural layer ,T-7958 ,340,100,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
88,Anakena cultural layer ,T-6680 ,370,90,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
89,Anakena cultural layer ,T-7959 ,510,40,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
90,Anakena cultural layer ,T-7974 ,540,60,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
91,Anakena cultural layer ,T-7349 ,550,150,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
92,Anakena cultural layer ,T-7344 ,600,140,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
93,Anakena cultural layer ,Beta-47171 ,660,80,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
94,Anakena cultural layer ,T-7975 ,710,40,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2b,
95,Anakena cultural layer ,T-7350 ,710,80,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
96,Anakena cultural layer ,T-7343 ,750,100,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
97,Anakena cultural layer ,T-7976 ,789,90,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
98,Anakena cultural layer ,T-7345 ,810,80,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
99,Anakena cultural layer ,T-7346 ,810,70,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
100,Anakena cultural layer ,Beta-47173 ,860,100,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
101,Anakena cultural layer ,T-7341 ,900,120,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
102,Anakena cultural layer ,Beta-47169 ,900,80,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
103,Anakena cultural layer ,Beta-47170 ,900,60,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
104,Anakena cultural layer ,T-6679 ,1170,140,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2c,
105,Anakena Dune Site ,Beta-196714 ,590,60,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,1c,
106,Anakena Dune Site ,Beta-196711 ,660,40,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,1c,
107,Anakena Dune Site ,Beta-196713 ,670,60,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,1c,
108,Anakena Dune Site ,Beta-196712 ,680,60,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,1c,
109,Anakena Dune Site ,Beta-196715 ,710,40,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,1c,
110,Anakena Dune Site ,Beta-196716 ,720,60,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,1c,
111,Anakena Dune Site ,Beta-209903 ,870,80,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,1c,
112,Anakena Dune Site ,Beta-209904 ,870,40,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,1c,
113,Anakena E2,K-522 ,430,100,0,0,1,0,Wood charcoal ,shcal13,Anakena,Residential,2b,
114,Anakena pre-Ahu Nau Nau I,Ua-34188 ,665,30,0,0,1,0,Wood charcoal unidentified,shcal13,Anakena,Residential,2a,
115,Anakena pre-Ahu Nau Nau I,Ua-34186 ,555,35,0,0,1,0,Wood charcoal unidentified ,shcal13,Anakena,Residential,2a,
116,Anakena settlement ,Ua-34190 ,665,35,0,0,1,0,Wood charcoal unidentified ,shcal13,Anakena,Residential,2c,
117,Anakena settlement ,Ua-34191 ,565,35,0,0,1,0,Carbonized nutshell ,shcal13,Anakena,Residential,1c,
118,CS2,Beta-144308 ,740,40,0,0,1,0,Wood charcoal ,shcal13,CS2,Agricultural,2c,
119,CS2,Beta-144309 ,250,40,0,0,1,0,Wood charcoal ,shcal13,CS2,Agricultural,2c,
120,CS4,Beta-144306 ,790,80,0,0,1,0,Wood charcoal ,shcal13,CS4,Agricultural,2c,
121,CS4,Beta-144307 ,840,40,0,0,1,0,Wood charcoal ,shcal13,CS4,Agricultural,2c,
122,East Poike ,KIA-18838 ,588,22,0,0,1,0,Wood charcoal ,shcal13,East Poike,Residential,2b,
123,East Poike ,KIA-18837 ,631,22,0,0,1,0,Wood charcoal ,shcal13,East Poike,Residential,2b,
124,East Poike ,KIA-20383 ,317,20,0,0,1,0,Carbonized nutshell ,shcal13,East Poike,Residential,1c,
125,East Poike ,SRR-2430 ,820,40,0,0,1,0,Carbonized nutshell e rat-gnawed ,shcal13,East Poike,Residential,2c,probably class 1
126,Hanga te Pahu ,CNRS 1111b ,465,85,0,0,1,0,Carbonized nutshell ,shcal13,Hanga te Pahu ,Residential,1b,
127,Hanga te Pahu ,CNRS 1111a ,640,90,0,0,1,0,Carbonized nutshell ,shcal13,Hanga te Pahu ,Residential,1b,
128,Maunga Orito,Beta-178860 ,200,50,0,0,1,0,Wood charcoal ,shcal13,Maunga Orito,Agricultural,2b,
129,Maunga Orito,KIA-17117 ,148,18,0,0,1,0,Wood charcoal ,shcal13,Maunga Orito,Agricultural,2b,
130,Maunga Orito,KIA-17116 ,177,18,0,0,1,0,Wood charcoal ,shcal13,Maunga Orito,Agricultural,2b,
131,Maunga Orito,KIA-25975 ,347,21,0,0,1,0,Wood charcoal ,shcal13,Maunga Orito,Agricultural,2b,
132,Maunga Orito,Beta-196925 ,450,40,0,0,1,0,Wood charcoal ,shcal13,Maunga Orito,Agricultural,2b,
133,Maunga Orito,Beta-196926 ,460,40,0,0,1,0,Wood charcoal ,shcal13,Maunga Orito,Agricultural,2b,
134,Moai Tukuturi ,T-5006 ,180,40,0,0,1,0,Wood charcoal ,shcal13,Rano Raraku,Ceremonial,2c,
135,Moai Tukuturi ,T-6258 ,230,60,0,0,1,0,Wood charcoal ,shcal13,Rano Raraku,Ceremonial,2c,
136,Moai Tukuturi ,Beta-13130 ,540,90,0,0,1,0,Wood charcoal ,shcal13,Rano Raraku,Ceremonial,2c,
137,Moai Tukuturi ,Ua-618 ,1040,90,0,0,1,0,Wood charcoal ,shcal13,Rano Raraku,Ceremonial,2c,
138,Orongo ,T-193 ,540,70,0,0,1,0,Wood charcoal ,shcal13,Orongo,Ceremonial,2b,
139,Orongo ,Beta-099336 ,320,70,0,0,1,0,Wood charcoal ,shcal13,Orongo,Residential,2b,
140,Orongo ,Beta-099342 ,240,60,0,0,1,0,Wood charcoal ,shcal13,Orongo,Residential,2b,
141,Orongo ,Beta-099356 ,200,50,0,0,1,0,Wood charcoal ,shcal13,Orongo,Residential,2b,
142,Orongo ,Beta-099347 ,210,50,0,0,1,0,Wood charcoal ,shcal13,Orongo,Residential,2b,
143,Orongo ,Beta-099339 ,250,50,0,0,1,0,Wood charcoal ,shcal13,Orongo,Residential,2b,
144,Orongo ,K-506 ,220,100,0,0,1,0,Wood charcoal ,shcal13,Orongo,Ceremonial,2c,
145,Orongo ,K-514 ,380,60,0,0,1,0,Wood charcoal ,shcal13,Orongo,Ceremonial,2c,
146,Orongo ,T-194 ,470,70,0,0,1,0,Wood charcoal ,shcal13,Orongo,Ceremonial,2b,
147,Orongo ,K-520 ,540,100,0,0,1,0,Wood charcoal ,shcal13,Orongo,Ceremonial,2a,
148,Poike Ditch ,Beta-208937 ,440,60,0,0,1,0,Wood charcoal e identified ,shcal13,Poike Ditch ,Residential,1c,
149,Poike Ditch ,Beta-208938 ,190,40,0,0,1,0,Wood charcoal e unidentified ,shcal13,Poike Ditch ,Residential,2c,
150,Poike Ditch ,Beta-47281 ,760,80,0,0,1,0,Wood charcoal e unidentified ,shcal13,Poike Ditch ,Residential,2c,
151,"Rock Garden 16, Hiva Hiva Lava Flow",Beta-238061 ,300,40,0,0,1,0,Wood charcoal ,shcal13,Hiva Hiva,Agricultural,2c,
152,"Rock Garden 20, Hiva Hiva Lava Flow",Beta-238062 ,570,40,0,0,1,0,Wood charcoal ,shcal13,Hiva Hiva,Agricultural,2c,
153,"Rock Garden 22, Hiva Hiva Lava Flow",Beta-237464 ,560,40,0,0,1,0,Wood charcoal ,shcal13,Hiva Hiva,Agricultural,2c,
154,"Rock Garden 25, Hiva Hiva Lava Flow",Beta-238063 ,210,40,0,0,1,0,Wood charcoal ,shcal13,Hiva Hiva,Agricultural,2c,
155,Site 1-187 ,WSU-1146 ,1180,230,0,0,1,0,Wood charcoal e Identified ,shcal13,Site 1-187,Residential,2b,
156,Site 10-241,Beta-47365 ,380,60,0,0,1,0,Wood charcoal ,shcal13,Maunga Tari,Residential,2b,
157,Site 10-241,Beta-47366 ,480,60,0,0,1,0,Wood charcoal ,shcal13,Maunga Tari,Residential,2b,
158,Site 10-241,Beta-47367 ,390,50,0,0,1,0,Wood charcoal ,shcal13,Maunga Tari,Residential,2b,
159,Site 14-1 ,UGa-631 ,395,60,0,0,1,0,Wood charcoal ,shcal13,Hanga Tu'u Hata Cave,Residential,2c,
160,Site 15-233,Beta-254389 ,160,40,0,0,1,0,Wood charcoal e identified ,shcal13,Hiva Hiva,Agricultural,1c,
161,Site 15-233,Beta-254390 ,280,40,0,0,1,0,Wood charcoal e identified ,shcal13,Hiva Hiva,Agricultural,1c,
162,Site 15-233,Beta-237461 ,150,40,0,0,1,0,Wood charcoal e unidentified ,shcal13,Hiva Hiva,Agricultural,2c,
163,Site 15-233,Beta-237462 ,670,40,0,0,1,0,Wood charcoal e unidentified ,shcal13,Hiva Hiva,Agricultural,2c,
164,Site 15-68,Beta-237460 ,440,40,0,0,1,0,Wood charcoal ,shcal13,Hiva Hiva,Agricultural,2c,
165,Site 15-68,Beta-237459 ,840,40,0,0,1,0,Wood charcoal ,shcal13,Hiva Hiva,Agricultural,2c,
166,Site 15-90,Beta-237457 ,460,40,0,0,1,0,Wood charcoal ,shcal13,Hiva Hiva,Agricultural,2c,
167,Site 18-228 ,Beta-47282 ,400,60,0,0,1,0,Wood charcoal e ,shcal13,Site 18-228 ,Residential,2b,upland from Runga Va'e
168,Site 18-419 ,Beta-47283 ,330,60,0,0,1,0,Wood charcoal e unidentified ,shcal13,Site 18-419,Residential,2b,
169,Site 18-473G,Beta-199322 ,220,40,0,0,1,0,Wood charcoal ,shcal13,Site 18-473,Residential,2b,
170,Site 18-473G,Beta-199324 ,1110,40,0,0,1,0,Wood charcoal ,shcal13,Site 18-473,Agricultural,2b,
171,Site 18-473G,Beta-199323 ,570,50,0,0,1,0,Twig and grass fragments ,shcal13,Site 18-473,Residential,2b,
172,Site 20-52,Beta-144310 ,780,50,0,0,1,0,Wood charcoal ,shcal13,Site 20-52,Agricultural,2c,
173,Site 20-52,Beta-144311 ,380,40,0,0,1,0,Wood charcoal ,shcal13,Site 20-52,Agricultural,2c,
174,"Site 21-568a, Hare Aio ",Beta-47279 ,320,70,0,0,1,0,Wood charcoal ,shcal13,"Site 21-568a, Hare Aio ",Residential,2c,
175,"Site 21-568a, Hare Aio ",Beta-46110 ,430,70,0,0,1,0,Wood charcoal ,shcal13,"Site 21-568a, Hare Aio ",Residential,2c,
176,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-22 ,325,40,0,0,1,0,Carbonized nutshell ,shcal13,Te Niu,Ceremonial,2c,
177,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-28 ,555,40,0,0,1,0,Carbonized nutshell ,shcal13,Te Niu,Ceremonial,1a,
178,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-14 ,230,60,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Ceremonial,2c,
179,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",B-95879 ,230,90,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Ceremonial,2c,
180,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-8 ,375,45,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Ceremonial,2b,
181,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-13 ,535,50,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Ceremonial,2a,
182,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-24 ,535,40,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Ceremonial,2c,
183,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",B-106319 ,570,50,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Ceremonial,2a,
184,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-25 ,650,40,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Ceremonial,2c,
185,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-23 ,685,50,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Ceremonial,2c,
186,"Site 26-1, Ahu Te Niu (Ahu Ohau) ",B-95878 ,700,90,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Ceremonial,2b,
187,"Site 26-22, Te Niu ",AZ-2 ,605,40,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Agricultural,2c,
188,"Site 26-22, Te Niu ",AZ-3 ,385,40,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Agricultural,2c,
189,"Site 26-36, Te Niu ",AZ-4 ,210,60,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Agricultural,2c,
190,"Site 26-50, Te Niu ",B-95880 ,550,110,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Residential,2c,
191,"Site 26-6, Te Niu ",AZ-9 ,230,45,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Residential,2c,
192,"Site 26-6, Te Niu ",AZ-7 ,680,45,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Residential,2c,
193,"Site 26-7b, Te Niu ",AZ-1 ,435,40,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Agricultural,2c,
194,"Site 26-I0, Te Niu ",AZ-5 ,715,70,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Agricultural,2c,
195,"Site 26-T0, Te Niu ",AZ-6 ,415,70,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Agricultural,2c,
196,"Site 26F, Te Niu ",AZ-27 ,545,40,0,0,1,0,Wood charcoal ,shcal13,Te Niu,Agricultural,2c,
197,Site 31-90,Beta-099355 ,150,50,0,0,1,0,Wood charcoal ,shcal13,Site 31-90,Residential,2b,
198,Site 31-90,Beta-099346 ,160,50,0,0,1,0,Wood charcoal ,shcal13,Site 31-90,Residential,2b,
199,Site 31-90,Beta-099345 ,610,80,0,0,1,0,Wood charcoal ,shcal13,Site 31-90,Residential,2b,some dates from this site not included
200,Site 31-90,Beta-91771 ,420,80,0,0,1,0,Burnt grass ,shcal13,Site 31-98,Residential,2b,site incorrect
201,Site 31-98,Beta-91772 ,130,40,0,0,1,0,Wood charcoal? ,shcal13,Site 31-98,Residential,2b,
202,Site 31-98,Beta-91774 ,130,60,0,0,1,0,Wood charcoal ,shcal13,Site 31-98,Residential,2b,
203,Site 31-98,Beta-91775 ,240,40,0,0,1,0,Wood charcoal ,shcal13,Site 31-98,Residential,2b,
204,Site 32-200c ,Gd-6963 ,150,90,0,0,1,0,Organic material ,shcal13,Site 32-200c,Agricultural,2b,Gd-6965 not included
205,Site 35-11 ,Beta-28753 ,280,60,0,0,1,0,Wood charcoal ,shcal13,Site 35-11,Residential,2b,
206,"Site 7-1, Akahanga cave ",I-7517 ,220,80,0,0,1,0,Wood charcoal ,shcal13,Akahanga,Residential,2b,
207,"Site 7-1, Runga Vae cave ",I-7515 ,190,80,0,0,1,0,Wood charcoal ,shcal13,Runga Vae,Residential,2c,
208,Site 7-553 ,Beta-50136 ,270,60,0,0,1,0,Wood charcoal Unidentified ,shcal13,Akahanga,Residential,2b,
209,Site 7-553 ,Beta-50138 ,440,60,0,0,1,0,Wood charcoal Unidentified ,shcal13,Akahanga,Residential,2b,
